host_city,year,host_country,artist_country,running_order
Kyiv,2017,Ukraine,Bulgaria,25.0
Kyiv,2017,Ukraine,Israel,1.0
Kyiv,2017,Ukraine,Austria,4.0
Kyiv,2017,Ukraine,Hungary,8.0
Kyiv,2017,Ukraine,Romania,20.0
Kyiv,2017,Ukraine,Denmark,10.0
Kyiv,2017,Ukraine,Netherlands,6.0
Stockholm,2016,Sweden,San Marino,8.0
Stockholm,2016,Sweden,Iceland,16.0
Stockholm,2016,Sweden,Montenegro,15.0
Stockholm,2016,Sweden,Greece,2.0
Stockholm,2016,Sweden,Estonia,13.0
Stockholm,2016,Sweden,Bosnia & Herzegovina,17.0
Stockholm,2016,Sweden,Moldova,3.0
Stockholm,2016,Sweden,Finland,1.0
Stockholm,2016,Sweden,Austria,12.0
Stockholm,2016,Sweden,Netherlands,6.0
Stockholm,2016,Sweden,Russia,9.0
Stockholm,2016,Sweden,Hungary,4.0
Stockholm,2016,Sweden,Czech Republic,10.0
Stockholm,2016,Sweden,Armenia,7.0
Stockholm,2016,Sweden,Malta,18.0
Stockholm,2016,Sweden,Cyprus,11.0
Stockholm,2016,Sweden,Croatia,5.0
Stockholm,2016,Sweden,Azerbaijan,14.0
Stockholm,2016,Sweden,Norway,15.0
Stockholm,2016,Sweden,Slovenia,11.0
Stockholm,2016,Sweden,Denmark,13.0
Stockholm,2016,Sweden,North Macedonia,8.0
Stockholm,2016,Sweden,Switzerland,3.0
Stockholm,2016,Sweden,Ireland,7.0
Stockholm,2016,Sweden,Belarus,5.0
Stockholm,2016,Sweden,Albania,17.0
Stockholm,2016,Sweden,Serbia,6.0
Stockholm,2016,Sweden,Poland,2.0
Stockholm,2016,Sweden,Belgium,18.0
Stockholm,2016,Sweden,Ukraine,14.0
Stockholm,2016,Sweden,Lithuania,9.0
Stockholm,2016,Sweden,Australia,10.0
Stockholm,2016,Sweden,Georgia,16.0
Stockholm,2016,Sweden,Bulgaria,12.0
Stockholm,2016,Sweden,Latvia,1.0
Stockholm,2016,Sweden,Israel,4.0
Stockholm,2016,Sweden,Serbia,15.0
Stockholm,2016,Sweden,Poland,12.0
Stockholm,2016,Sweden,Belgium,1.0
Stockholm,2016,Sweden,Ukraine,21.0
Stockholm,2016,Sweden,Lithuania,16.0
Stockholm,2016,Sweden,Australia,13.0
Stockholm,2016,Sweden,Georgia,23.0
Stockholm,2016,Sweden,Bulgaria,8.0
Stockholm,2016,Sweden,Latvia,20.0
Stockholm,2016,Sweden,Israel,7.0
Stockholm,2016,Sweden,Austria,24.0
Stockholm,2016,Sweden,Netherlands,3.0
Stockholm,2016,Sweden,Russia,18.0
Stockholm,2016,Sweden,Hungary,5.0
